ID,gCF,gCF_N,gDF1,gDF1_N,gDF2,gDF2_N,gDFP,gDFP_N,gN,sCF,sCF_N,sDF1,sDF1_N,sDF2,sDF2_N,sN,posterior_prob,branchlength,chrom,Node_17,Node_18,Node_19,Pop_Nodes
23,22.02,85,0.78,3,0.26,1,76.94,297,386,66.33,714.48,15.27,171.34,18.4,207.77,1093.59,100,0.000663615,mi6,FALSE,FALSE,FALSE,FALSE
24,12.69,49,8.03,31,2.85,11,76.42,295,386,47.66,315.49,32.4,219.26,19.93,134.85,669.6,100,0.000406988,mi6,FALSE,FALSE,FALSE,FALSE
25,10.62,41,12.95,50,11.14,43,65.28,252,386,43.47,128.93,32.54,94.88,23.99,70,293.81,100,0.000129382,mi6,FALSE,FALSE,FALSE,TRUE
26,17.88,69,6.99,27,12.18,47,62.95,243,386,40.18,77.19,29.64,57.58,30.18,58.92,193.69,100,0.000155562,mi6,FALSE,FALSE,FALSE,TRUE
27,33.16,128,2.59,10,1.04,4,63.21,244,386,73.39,400.38,13.98,74.94,12.64,67.77,543.09,100,0.000530155,mi6,FALSE,FALSE,FALSE,FALSE
28,23.32,90,16.06,62,20.73,80,39.9,154,386,32.61,92.17,37.88,114.31,29.51,86.76,293.24,100,0.000108208,mi6,FALSE,FALSE,FALSE,TRUE
29,58.29,225,5.7,22,8.81,34,27.2,105,386,88.41,366.25,5.85,24.19,5.74,23.97,414.41,100,0.000432515,mi6,FALSE,FALSE,FALSE,FALSE
1,87.79,374,1.88,8,0.23,1,10.09,43,426,89.75,5429.99,5.93,357.05,4.31,264.78,6051.82,100,0.00344279,mi7,FALSE,FALSE,FALSE,FALSE
2,62.21,265,3.99,17,0.23,1,33.57,143,426,77.27,2299.25,13.91,441.5,8.83,278.47,3019.22,100,0.00131878,mi7,FALSE,FALSE,FALSE,FALSE
3,40.14,171,4.69,20,18.54,79,36.62,156,426,51.1,564.31,14.4,160.48,34.5,383.74,1108.53,100,0.000463431,mi7,FALSE,FALSE,FALSE,FALSE
4,78.4,334,5.16,22,0.94,4,15.49,66,426,83.55,707.16,12.23,104.24,4.22,32.67,844.07,100,0.00107274,mi7,FALSE,FALSE,FALSE,FALSE
